"","Instrument","Comp.1","Comp.2","Comp.3","price","dividend","eps","PE.Comp.1","Div.Yield.Comp.1","PE.Comp.2","Div.Yield.Comp.2","PE.Comp.3","Div.Yield.Comp.3"
"40","SSE",-0.107823302919022,-0.0242760950908927,0.0386605002243798,1492,0.91302,1.2346,-130.303230159713,-6.59817909055803e-05,-29.3373836672703,-1.48556034449644e-05,46.7207729910697,2.36580495407931e-05
"41","RDSB",-0.0907445626508385,-0.200805375449813,-0.0965857681783417,2161,1.52146,0.74455,-263.379222199264,-6.38890431701734e-05,-582.822397887375,-0.000141377763318775,-280.332878965008,-6.80015654107449e-05
"42","LSE",-0.122387003482863,0.0628150391912722,0.00828940765659274,3432,0.4,1.272,-330.213990529234,-1.42642195201472e-05,169.482086874565,7.32110013884291e-06,22.3657602809955,9.66131428507313e-07
"43","ULVR",-0.0958324590246355,-0.109184912156224,0.188798040425217,4099.5,1.08719,1.60476,-244.812411682428,-2.54148289125487e-05,-278.922422907127,-2.89559079514881e-05,482.301133330328,5.00693600609566e-05
"44","BP.",-0.0958506002674189,-0.195354312677514,-0.101110672264052,469,0.32372,0.1116,-402.813006500175,-6.61593951355413e-05,-820.978249513924,-0.000134840294456215,-424.918506199288,-6.97900785188038e-05
"45","HIK",-0.064374318358793,-0.0104248432395582,0.110950905573592,1700,0.26706,0.95415,-114.69511209972,-1.01128267417054e-05,-18.5738442668857,-1.63768155032731e-06,197.680175522827,1.74297346132255e-05
"46","SHP",-0.0426790312487755,0.0022528269051883,0.0700610427041739,4814.5,0.24279,3.53386,-58.1455394235283,-2.15225713924399e-06,3.06923169990579,1.13607611239104e-07,95.4505526815565,3.53310220337447e-06
"47","STAN",-0.0987046358243903,-0.0909247648764032,-0.159623391954528,0,0,0,0,0,0,0,0,0
"48","SKY",-0.0932876645263745,0.0334770246620507,0.0640620097118536,1001,0.335,0.626,-149.170850145209,-3.12201474688666e-05,53.5311528541737,1.12035996621249e-05,102.437814251702,2.14393339195514e-05
"49","IMB",-0.0863654753256963,-0.0534029182529292,0.212830301093936,3644,1.552,2.496,-126.088057727098,-3.67835394361912e-05,-77.9648373852861,-2.27446018464726e-05,310.718596629127,9.0645616711797e-05
"50","DGE",-0.0974863628921591,-0.119888517464175,0.163740259141916,2290,0.592,0.89,-250.835697778701,-2.52017147738682e-05,-308.477196621304,-3.0993014121743e-05,421.309206106727,4.23293595685651e-05
"51","CTEC",-0.00683544724862703,-0.0203142275337482,0.0258475139289149,0,0,0,0,0,0,0,0,0
"52","ABF",-0.10216686880392,0.0446552211628726,0.0616152836415661,2861,0.3675,1.062,-275.234850892669,-1.31234967792522e-05,120.299988462315,5.73603417593697e-06,165.989949621959,7.9145811738118e-06
"53","SMIN",-0.114750279887392,-0.0900338590535605,-0.0835671034340303,1629,0.42,0.843,-221.741644052861,-2.95857075216112e-05,-173.980019452254,-2.32131496639014e-05,-161.483762151881,-2.15458461892528e-05
"54","III",-0.137922607439267,0.0283033256759036,-0.0135728757584029,832.5,0.24,1.2902,-88.9943967549139,-3.97614724149239e-05,18.2626868897766,8.1595173119722e-06,-8.7578817771434,-3.91290111953958e-06
"55","AAL",-0.0730912542505989,-0.189246900222331,-0.254694467204802,0,0,0,0,0,0,0,0,0
"56","OML",-0.132239129703848,-0.0776139863171418,-0.0577938942613755,191.9,0.0606,0.194,-130.807675207053,-4.17597251696361e-05,-76.7738349188634,-2.45096798896237e-05,-57.1682902513297,-1.82507034509607e-05
"57","INTU",-0.127434803964892,0.0567712224720026,-0.0141536474046216,267.5,0.14,0.15,-227.258733737391,-6.66948506732147e-05,101.242013408405,2.97120416675901e-05,-25.2406712049086,-7.40751639868049e-06
